"id_instituicao","instituicao","sigla","departamento","estado","pais"
74,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Depto de Informática","RJ","Brasil"
112,"Universidade Católica de Pelotas","UCPEL","","RS","Brasil"
111,"Universidade Católica de Pelotas","UCPel","","RS","Brasil"
14,"Companhia Paulista de Força e Luz Paulista","CPFL","","SP","Brasil"
66,"Pontifícia Universidade Católica do Paraná","PUCPR","","PR","Brasil"
231,"Universidade Federal do Amazonas","UFAM","Grupo de Pesquisa sobre Usabilidade e Engenharia de Software","AM","Brasil"
87,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Instituto de Computação","RS","Brasil"
83,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","","RS","Brasil"
130,"Universidade de São Paulo","USP","","SP","Brasil"
121,"Universidade de Fortaleza","UNIFOR","","CE","Brasil"
70,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Departamento de Informática","RJ","Brasil"
157,"Universidade Estadual de Campinas","UNICAMP","DCA - FEEC","SP","Brasil"
67,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","","RJ","Brasil"
270,"Universidade Federal Rural de Pernambuco","UFRPE","Departamento de Estatística e Informática","PE","Brasil"
224,"Universidade Federal de Viçosa","UFV","","MG","Brasil"
56,"Instituto Federal do Rio Grande do Norte","IFRN","","RN","Brasil"
217,"Universidade Federal de São Carlos","UFSCar","Advanced Interaction Laboratory","SP","Brasil"
254,"Universidade Federal do Rio Grande do Norte","UFRN","Departamento de Informática e Matemática Aplicada","RN","Brasil"
85,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Faculdade de Computação","RS","Brasil"
201,"Universidade Federal de Pernambuco","UFPE","Centro de Informática","PE","Brasil"
196,"Universidade Federal de Minas Gerais","UFMG","Departamento de Sociologia e Antropologia","MG","Brasil"
189,"Universidade Federal de Mato Grosso","UFMT","Instituto de Computação","MT","Brasil"
272,"Universidade Regional Integrada do Alto Uruguai e das Missões","URI","","RS","Brasil"
185,"Universidade Federal de Goiás","UFG","","GO","Brasil"
246,"Universidade Federal do Pernambuco","UFPE","","PE","Brasil"
36,"Fundação Oswaldo Cruz","Fiocruz","","",""
237,"Universidade Federal do Estado do Rio de Janeiro","UNIRIO","","RJ","Brasil"
34,"Fundação Oswaldo Cruz","Fiocruz","","RJ","Brasil"
35,"Fundação Oswaldo Cruz","FIOCRUZ","","RJ","Brasil"
238,"Universidade Federal do Estado do Rio de Janeiro","UNIRIO","","",""
184,"Universidade Federal de Campina Grande","UFCG","Departamento de Sistemas e Computação","PB","Brasil"
179,"Universidade Federal da Bahia","UFBA","","BA","Brasil"
166,"Universidade Estadual de Campinas","Unicamp","Instituto de Computação","SP","Brasil"
167,"Universidade Estadual de Campinas","UNICAMP","Instituto de Computação","SP","Brasil"
169,"Universidade Estadual de Campinas","UNICAMP","Instituto de Computação (IC) & NIED","SP","Brasil"
132,"Universidade de São Paulo","USP","Departamento de Computação","SP","Brasil"
88,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Museu de Ciências e Tecnologia","RS","Brasil"
268,"Universidade Federal Fluminense","UFF","Instituto de Computação","RJ","Brasil"
99,"Unidade de Desenvolvimento de Software Paraiba","UDPB","","PB","Brasil"
110,"Universidad Politécnica de San Luis Potosi","UPSLP","División Nuevas Tecnologías de la Información","","México"
20,"Embrapa Monitoramento por Satélite","CNPM","","SP","Brasil"
71,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Departamento de Psicologia","RJ","Brasil"
72,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Departamento de Psicologia, Departamento de Informática","RJ","Brasil"
64,"Pontifícia Universidade Católica de Minas Gerais","PUCMINAS","Mestrado em Informática","MG","Brasil"
86,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Faculdade de Informática","RS","Brasil"
193,"Universidade Federal de Minas Gerais","UFMG","Departamento de Ciência da Computação","MG","Brasil"
104,"Universidad de las Américas-Puebla","UDLA-P","Library and Center for Research in Information and Automation Technologies of the Universidad de las Américas-Puebla","1","México"
15,"Consejo Nacional de Investigaciones Científicas y Técnicas","CONICET","","1","Argentina"
107,"Universidad Nac. del Centro de la Pcia. de Buenos Aires","ISISTAN","","",""
57,"KTH Royal Institute of Technology","KTH","","1","Suécia"
214,"Universidade Federal de São Carlos","UFSCar","","SP","Brasil"
150,"Universidade do Vale do Itajaí","UNIVALI","","SC","Brasil"
219,"Universidade Federal de São Carlos","UFSCar","Departamento de Computação","SP","Brasil"
260,"Universidade Federal do Rio Grande do Sul","UFRGS","Instituto de Informática","RS","Brasil"
24,"Faculdade Natalence para o Desenvolvimento do Rio Grande do Norte","FARN","","",""
251,"Universidade Federal do Rio Grande do Norte","UFRN","","RN","Brasil"
105,"Universidad del Cauca","UNICAUCA","Departamento de Sistemas","","Colômbia"
30,"Fundação Educacional Inaciana Pe. Sabóia de Medeiros","Centro Universitário da FEI","","SP","Brasil"
93,"Sheffield Hallam University","SHU","Communication and Computing Research Centre Sheffield Hallam University","1","Inglaterra"
95,"The Open University","The Open University","Knowledge Media Institute (KMi)","1","Inglaterra"
114,"Universidade Católica de Pelotas","UCPel","Escola de Informática","RS","Brasil"
225,"Universidade Federal do ABC","UFABC","","SP","Brasil"
207,"Universidade Federal de Santa Catarina","UFSC","Departamento de Engenharia de Produção e Sistemas","SC","Brasil"
131,"Universidade de São Paulo","USP","Departamento de Ciência da Computação","SP","Brasil"
47,"Instituto Brasileiro de Geografia e Estatística","IBGE-RN","","",""
12,"Companhia de Processamento de Dados do Estado do Rio Grande do Sul","PROCERGS","","RS","Brasil"
240,"Universidade Federal do Estado do Rio de Janeiro","UNIRIO","Departamento de Informática Aplicada","RJ","Brasil"
241,"Universidade Federal do Maranhão","UFMA","","MA","Brasil"
190,"Universidade Federal de Mato Grosso","UFMT","Instituto de Computação - Laboratório de Ambientes Virtuais Interativos","MT","Brasil"
180,"Universidade Federal da Bahia","UFBA","Departamento de Ciência da Computação","BA","Brasil"
275,"Universidade Salvador","UNIFACS","PPGCOMP","BA","Brasil"
276,"Universidade Salvador","UNIFACS","Programa de Pós-Graduação em Sistemas e Computação","BA","Brasil"
181,"Universidade Federal da Bahia","UFBA","DMCC","BA","Brasil"
273,"Universidade Salvador","UNIFACS","","BA","Brasil"
142,"Universidade do Estado da Bahia","UNEB","","BA","Brasil"
63,"Pontifícia Universidade Católica de Minas Gerais","PUC Minas","","MG","Brasil"
266,"Universidade Federal Fluminense","UFF","","RJ","Brasil"
202,"Universidade Federal de Pernambuco","UFPE","Departamento de Ciência da Informação","PE","Brasil"
158,"Universidade Estadual de Campinas","Unicamp","Departamento de Computação e Automação Industrial","SP","Brasil"
40,"IBM Research","IBM","","SP","Brasil"
138,"Universidade de São Paulo","USP","Instituto de Matemática e Estatística","SP","Brasil"
239,"Universidade Federal do Estado do Rio de Janeiro","UFRJ","","RJ","Brasil"
82,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","VisionLab - Departamento de Informática","RJ","Brasil"
284,"Université Paul Sabatier","UPS","","","França"
205,"Universidade Federal de Santa Catarina","UFSC","","SC","Brasil"
75,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Depto de Informática,Depto. de Psicologia","RJ","Brasil"
256,"Universidade Federal do Rio Grande do Sul","UFRGS","","RS","Brasil"
263,"Universidade Federal do Rio Grande do Sul","UFRGS","PPGC/Instituto de Informática","RS","Brasil"
242,"Universidade Federal do Maranhão","UFMA","Departamento de Informática","MA","Brasil"
68,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","","",""
49,"Instituto de Pesquisas Eldorado","","Instituto de Pesquisas Eldorado","SP","Brasil"
154,"Universidade Estadual de Campinas","Unicamp","","SP","Brasil"
236,"Universidade Federal do Espírito Santo","UFES","Departamento de Informática","ES","Brasil"
235,"Universidade Federal do Espírito Santo","UFES","","ES","Brasil"
149,"Universidade do Salvador","UNIFACS","","BA","Brasil"
92,"Secrel SSA","","","CE","Brasil"
285,"Université Toulouse 1 Place Anatole France","LIHS","","1","França"
212,"Universidade Federal de Santa Catarina","UFSC","Programa de Pós-Graduação em Ciência da Computação","SC","Brasil"
32,"Fundação Estadual de Proteção Ambiental","FEPAM","","",""
80,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","SERG/Informática","RJ","Brasil"
79,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","SERG - Departamento de Informática","RJ","Brasil"
76,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","Depto. de Informática","RJ","Brasil"
69,"Pontifícia Universidade Católica do Rio de Janeiro","PUC-Rio","","RS","Brasil"
117,"Universidade de Brasília","UnB","Depto de Ciência da Informação e Documentação","DF","Brasil"
98,"Tribunal de Contas da União","TCU","Tribunal de Contas da União","DF","Brasil"
119,"Universidade de Caxias do Sul","UCS","Departamento de Informática","RS","Brasil"
122,"Universidade de Fortaleza","Unifor","","CE","Brasil"
41,"IBM Research","","IBM Research","SP","Brasil"
177,"Universidade Estadual do Oeste do Paraná","Unioeste","","PR","Brasil"
178,"Universidade Estadual do Oeste do Paraná","UNIOESTE","Colegiado de Informática","PR","Brasil"
62,"Pontificia Universidad Católica de Valparaíso","UCV","Escuela de Ingeniería Informática","","Chike"
192,"Universidade Federal de Mato Grosso","UFMT","Laboratório de Ambientes Virtuais Interativos (LAVI) ? Instituto de Computação (IC)","MT","Brasil"
188,"Universidade Federal de Mato Grosso","UFMT","","MT","Brasil"
152,"Universidade do Vale do Rio dos Sinos","UNISINOS","Centro de Ciências da Comunicação","RS","Brasil"
229,"Universidade Federal do Acre","UFAC","NAP","AC","Brasil"
123,"Universidade de Fortaleza","LUQS","","CE","Brasil"
135,"Universidade de São Paulo","USP","Escola Politécnica","SP","Brasil"
250,"Universidade Federal do Rio de Janeiro","UFRJ","Programa de Engenharia de Sistemas e Computação.","RJ","Brasil"
102,"Universidad de las Américas-Puebla","UDLAP","Laboratory of Interactive and Cooperative Technologies","","México"
209,"Universidade Federal de Santa Catarina","UFSC","Depto de Informática e Estatística ? INE","SC","Brasil"
151,"Universidade do Vale do Rio dos Sinos","UNISINOS","","RS","Brasil"
243,"Universidade Federal do Pará","UFPA","","PA","Brasil"
200,"Universidade Federal de Pernambuco","UFPE","","PE","Brasil"
44,"Institut National de Recherche en Informatique et en Automatique","Inria","","1","França"
171,"Universidade Estadual de Maringá","UEM","","PR","Brasil"
221,"Universidade Federal de São Carlos","UFSCAR","Departamento de Informática e Matemática Aplicada","SP","Brasil"
3,"Centro de Estudos e Sistemas Avançados do Recife","C.E.S.A.R","","PE","Brasil"
153,"Universidade do Vale do Rio dos Sinos","UNISINOS","PIPCA","RS","Brasil"
155,"Universidade Estadual de Campinas","UNICAMP","","SP","Brasil"
287,"University of Plymouth","","","1","Inglaterra"
118,"Universidade de Campinas","UNICAMP","Instituto de Computação","SP","Brasil"
165,"Universidade Estadual de Campinas","UNICAMP","Institute of Computing","SP","Brasil"
248,"Universidade Federal do Rio de Janeiro","UFRJ","COPPEAD","RJ","Brasil"
129,"Universidade de Passo Fundo","UPF","Instituto de Ciências Exatas e Geociências","RS","Brasil"
197,"Universidade Federal de Minas Gerais","UFMG","Faculdade de Letras","MG","Brasil"
259,"Universidade Federal do Rio Grande do Sul","UFRGS","Faculdade de Educação","RS","Brasil"
127,"Universidade de Fortaleza","UNIFOR","Mestrado em Informática Aplicada - MIA","CE","Brasil"
173,"Universidade Estadual do Ceará","UECE","","CE","Brasil"
126,"Universidade de Fortaleza","UNIFOR","Mestrado em Informática Aplicada","CE","Brasil"
124,"Universidade de Fortaleza","UNIFOR","","",""
199,"Universidade Federal de Ouro Preto","UFOP","Departamento de Computação","MG","Brasil"
198,"Universidade Federal de Ouro Preto","UFOP","Departamento de Ciência da Computação","MG","Brasil"
11,"Centro Universitário UNA","UNA","","MG","Brasil"
25,"Faculdade Pedro Leopoldo","FPL","","MG","Brasil"
247,"Universidade Federal do Rio de Janeiro","UFRJ","","RJ","Brasil"
227,"Universidade Federal do ABC","UFABC","Centro de Matemática, Computação e Cognição","SP","Brasil"
186,"Universidade Federal de Goiás","UFG","Instituto de Informática","GO","Brasil"
91,"Queen Mary, University of London","QMW","Departamento de Ciência da Computação","1","Inglaterra"
139,"Universidade de São Paulo","USP","Laboratório de Aplicações de Informática em Saúde","SP","Brasil"
170,"Universidade Estadual de Campinas","UNICAMP","Núcleo de Informática Aplicada à Educação","SP","Brasil"
215,"Universidade Federal de São Carlos","UFSCar","","",""
9,"Centro Universitário de Lins","Unilins","","SP","Brasil"
65,"Pontifícia Universidade Católica de São Paulo","PUC-SP","Pontifícia Universidade Católica","SP","Brasil"
203,"Universidade Federal de Pernambuco","UFPE","Departamento de Psicologia e Orientação Educacional","PE","Brasil"
264,"Universidade Federal do Rio Grande do Sul","UFRGS","Programa de Pós-graduação em Engenharia de Produção","RS","Brasil"
125,"Universidade de Fortaleza","UNIFOR","Curso de Informática","CE","Brasil"
90,"Pontifícia Universidade Católica do Rio Grande do Sul","PUCRS","Programa de Pós-Graduação em Ciência da Computação","RS","Brasil"
218,"Universidade Federal de São Carlos","UFSCar","Departamento de Ciência da Computação","SP","Brasil"
106,"Universidad del Cauca","UNICAUCA","Departamento de Telemática","","Colômbia"
269,"Universidade Federal Rural de Pernambuco","UFRPE","","PE","Brasil"
8,"Centro Universitário de Ciências Gerenciais da Una","UMA","","MG","Brasil"
163,"Universidade Estadual de Campinas","Unicamp","hans@dcc.unicamp.br","SP","Brasil"
37,"Grupo de Realidad Virtual Universidad EAFIT","","","1","Colômbia"
59,"Mentores Consultoria Ltda.","","Mentores Consultoria Ltda.","CE","Brasil"
33,"Fundação Estadual de Proteção Ambiental","FEPAM","SINPLI","RS","Brasil"
271,"Universidade Feevale","Feevale","","RS","Brasil"
145,"Universidade do Estado do Rio de Janeiro","UERJ","","RJ","Brasil"
10,"Centro Universitário Ritter dos Reis","UNIRITTER","","RS","Brasil"
144,"Universidade do Estado de Santa Catarina","UDESC","Departamento de Ciência da Computação","SC","Brasil"
257,"Universidade Federal do Rio Grande do Sul","UFRGS","","",""
143,"Universidade do Estado de Santa Catarina","UDESC","","SC",""
2,"Centro de Ensino Superior de Juiz de Fora","CESJF","","MG","Brasil"
115,"Universidade Cruzeiro do Sul","UNICSUL","","SP","Brasil"
103,"Universidad de las Américas-Puebla","UAP","Laboratory of Interactive and Cooperative Technologies","","México"
101,"Universidad de las Américas-Puebla","UDLA","","","México"
22,"Faculdade de Tecnologia de Campinas","FATEC-CPS","","SP","Brasil"
141,"Universidade do Chile","uchile","Departamento de Ciência da Computação","1","Chile"
61,"Pesquisas do Rio Grande do Norte","","","",""
253,"Universidade Federal do Rio Grande do Norte","UFRN","Dep. de Informática e Matemática Aplicada","RN","Brasil"
252,"Universidade Federal do Rio Grande do Norte","UFRN","DEMAp- Departamento de Informática e Matemática Aplicada","RN","Brasil"
54,"Instituto Federal de São Paulo","IFSP","","SP","Brasil"
281,"Université catholique de Louvain","uclouvain","Louvain Interaction Laboratory","1","Bélgica"
45,"Institut National Polytechnique de Grenoble Domaine Universitaire","","","","França"
55,"Instituto Federal de Sergipe","IFS","","SE","Brasil"
137,"Universidade de São Paulo","USP","Instituto de Ciências Matemáticas e de Computação","SP","Brasil"
222,"Universidade Federal de São Carlos","UFSCar","Laboratório de Interação Avançada (LIA)","SP","Brasil"
249,"Universidade Federal do Rio de Janeiro","UFRJ","Núcleo de Computação Eletrônica da UFRJ","RJ","Brasil"
183,"Universidade Federal de Campina Grande","UFCG","","PB","Brasil"
211,"Universidade Federal de Santa Catarina","UFSC","Grupo de Qualidade de Software","SC","Brasil"
17,"CTI Renato Archer","","","",""
97,"The University of Western Ontario","","Information and Media Studies & Computer Science","1","Canadá"
